NPLV,dur_1_AR_sum,dur_30_AR_sum,dur_1_CO_sum,dur_30_CO_sum,dur_1_CO2_sum,dur_30_CO2_sum,dur_1_H2_sum,dur_30_H2_sum,dur_1_N2_sum,dur_30_N2_sum,dur_1_O2_sum,dur_30_O2_sum,dur_1_V_sum,dur_30_V_sum,dur_1_O2_pressure_mean,dur_1_tf1_mean,dur_1_T_mean,dur_1_V_mean,dur_30_O2_pressure_mean,dur_30_tf1_mean,dur_30_T_mean,dur_30_V_mean,dur_all_AR_sum,dur_all_CO_sum,dur_all_CO2_sum,dur_all_H2_sum,dur_all_N2_sum,dur_all_O2_sum,dur_all_O2_pressure_sum,dur_all_O2_pressure_mean,dur_all_tf1_sum,dur_all_tf1_mean,dur_all_T_sum,dur_all_T_mean,dur_all_V_sum,dur_all_V_mean,O2_pressure_max,tf1_max,T_max,AR_last,CO2_last,N2_last,O2_pressure_last,tf1_last,T_last,V_last,V_diff,O2_pressure_diff,tf1_diff,tf2_diff,T_diff,Time_diff,dur_1_sum,dur_30_sum,dur_all_sum,pol_diff,time_diff,pol_end,Уголь ТО_sum,Уголь ТО_op_count,ФЛЮМАГ_sum,ФЛЮМАГ_op_count,Флюс ФОМИ_sum,Флюс ФОМИ_op_count,изв отсев_sum,изв отсев_op_count,изв_ЦОИ_sum,изв_ЦОИ_op_count,plavka_NMZ,plavka_STFUT,plavka_ST_FURM,plavka_TIPE_GOL,seconds_of_plavka,plavka_NAPR_ZAD_МНЛЗ,plavka_NAPR_ZAD_МНЛС,plavka_TIPE_FUR_цилиндрическая,O2_sum,NOP_count,long_proces,Завалка лома_duration,Нагрев лома_duration,Заливка чугуна_duration,Продувка_duration,VES_x,T,SI,MN,S,P,CR,NI,CU,V,TI,VES_y,NML_25КШ,NML_К   ,NML_КП  ,NML_КШС8,NML_ЛЧ  ,NML_О   ,NML_ОК  ,NML_СК  ,NML_У2КШ,VDL_4,VDL_8,VDL_13,VDL_20,VDL_23,VDL_48,VDL_49,VDL_61,VDL_63
510008,59.54649967052463,1404.4750151038172,34.952819805429236,37988.87996285409,644.8541715035452,29375.650024414062,0.3795555612113741,354.71874142088546,4775.219542073988,102056.13918698672,585.2334821245436,7412.6219292785645,13374731.65625,387332032.9375,13.668860801060994,0.0,134.4039301554362,222912.19427083328,13.207883790720075,0.0,565.5957271830241,215184.46274305554,2052.5461427182167,41565.32533914058,34936.083311901304,768.890271834745,156085.7869969685,20685.819848140043,34191.50852654321,13.257661313122613,0.0,0.0,1297695.2263031006,503.17767596087646,554980590.078125,215192.16365960645,14.14930534362793,0.0,910.0694580078124,0.9735015024947836,10.125830899714007,78.38392199307991,13.38975715637207,0.0,131.94444274902344,219321.34375,1058.0,0.3038196563720703,0.0,0.0,-130.90278625488278,2579.0,12412.804347826086,272906.2894021739,838814.0,-0.38759510869565217,4108.0,7.07,2950.0,5.0,2960.0,1.0,980.0,1.0,0.0,0.0,14080,5,42,971,11,2,2579,1,0,1,2909.0,9,2579.0,16.0,730.0,203.0,1170.0,-0.34444786632387475,-0.13183981052907884,0.44,0.22,0.023,0.097,0.03,0.01,0.03,0.103,0.084,0.6174630090067855,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
510009,59.32148853407386,1547.5614984379815,58.15881951267403,22906.24885030205,918.671920317268,30113.441421049687,0.08505470147539804,54.3900548455324,4633.402201779822,116369.28490365359,329.7671715832383,6407.387063345973,13171592.234375,383808409.71875,13.534071191151936,0.0,111.40914198557535,219526.53723958333,13.385471830183285,0.0,431.3314048661126,213226.89428819445,3310.31102925383,45281.13868643737,46447.03389613679,644.9233135952949,255833.50321659585,43381.1033743236,55089.19444527748,13.765415903367686,0.0,0.0,1484195.8744448272,370.86353684278544,857147911.953125,214179.88804425913,15.71180534362793,0.0,893.75,0.9836980399208988,14.667045518136392,77.35070253201074,13.628472328186035,0.0,114.23611450195312,218792.984375,-528.359375,0.8463544845581055,0.0,0.0,-85.76388549804688,4002.0,11643.534391534393,230579.72486772487,764750.0,0.19091710758377456,3492.0,4.76,2930.0,5.0,0.0,0.0,960.0,1.0,1060.0,1.0,18830,8,42,972,12,2,4004,1,0,1,2182.0,9,4004.0,31.0,788.0,188.0,1230.0,-0.25520364607223434,0.7878407495700437,0.68,0.2,0.017,0.087,0.02,0.01,0.03,0.084,0.096,0.8312216448561806,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
510010,60.58487442992628,1482.412365527079,38.98831107039005,33261.16824783701,597.7593284994364,27057.70955146849,1.2027499731164426,206.92774947728032,4778.580088567735,107964.90957159994,522.2846135795118,8025.104452282191,13035257.921875,382318031.765625,13.860074122746784,0.0,126.1429407755534,217254.29869791667,13.75197421868642,0.0,538.4740543704563,212398.90653645832,2379.575266006599,42363.8612831586,36527.96057469697,898.5783325595438,179821.06254339137,25108.38161102957,40258.212161540985,13.867796128674126,0.0,0.0,1406451.0406799316,484.48192927314216,619007531.375,213230.28982948675,14.829282760620115,0.0,914.9305419921876,1.0072499908506871,9.889875262975695,79.67274942398072,13.823784828186035,0.0,127.43054962158205,216986.9375,1176.65625,-0.4774303436279297,0.0,0.0,-84.37500762939452,2903.0,11738.864347826086,235191.5556521739,764170.5,0.6297652173913035,3520.0,4.349765217391304,2990.0,5.0,2960.0,1.0,1050.0,1.0,990.0,1.0,16080,5,58,973,13,2,2904,0,0,1,2841.0,9,2904.0,133.0,738.0,209.0,1226.0,-0.33329233879241965,-0.6116731462329689,0.56,0.26,0.017,0.096,0.03,0.01,0.03,0.115,0.11,0.6263696188338437,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0
510011,60.76999831199646,1664.8884972456626,23.600000351667404,12613.889817316303,614.7800045013428,24645.89469931581,0.0,32.95470549966045,4479.2798919677725,123658.01378900865,722.1599864959717,15811.308295184856,13064718.796875,390546619.78125,14.411048460006715,0.0,108.88310063680014,217745.31328125,14.370969226095411,0.0,356.6422961849636,216970.34432291667,2724.350670968844,44907.555297662155,44239.90614462951,327.2937047721708,204155.89164926863,29401.91624695149,46472.26921272279,14.12101768846028,0.0,0.0,1432472.1035614011,435.26955440942004,713861743.234375,216913.3221617669,15.704572677612305,0.0,842.7083129882812,1.0299999713897705,10.420000076293944,75.91999816894531,14.62673568725586,0.0,112.84722137451172,221631.140625,3367.796875,1.0489006042480469,0.0,0.0,-19.09722137451172,3291.0,12183.185351270551,256261.10014947684,733717.0,-0.4335874439461875,3732.0,12.49,3620.0,5.0,0.0,0.0,980.0,1.0,550.0,1.0,22150,6,48,974,14,2,3291,0,0,1,10.0,10,3291.0,17.0,776.0,175.0,1058.0,-0.3109812837295096,0.06809074601420867,0.48,0.27,0.018000000000000002,0.091,0.03,0.01,0.02,0.112,0.11,1.3210851853443772,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
510012,56.84000110626221,1399.1450117230413,19.720000207424164,32040.309988170866,914.0800132751464,29651.10013582185,0.0,509.4500005710871,4361.599822998047,105676.63823127748,447.7599878311157,8344.086015769524,13042402.125,386756451.875,15.017782958348592,0.0,127.51735763549804,217373.36875,13.953625303374395,0.0,528.6178624894884,214864.6954861111,2293.933027126153,40823.42939936432,39021.23125254315,1266.4730509181736,178139.24833145828,24225.58651308217,40782.966674280164,14.092248332508696,0.0,0.0,1368819.444641113,472.98529531482836,623427963.59375,215420.85818719765,15.567130088806152,0.0,876.388916015625,0.9800000190734864,15.760000228881836,75.19999694824219,15.567130088806152,0.0,133.33332824707028,219532.34375,3293.46875,1.1646423339843768,0.0,0.0,-117.36111450195317,2894.0,11889.604930046637,260702.93937375085,840471.0,0.6502931379080605,4238.0,5.0,2930.0,3.0,3010.0,2.0,1000.0,1.0,2050.0,2.0,19550,8,38,975,15,2,2895,0,1,1,3225.0,11,2895.0,136.0,736.0,184.0,1239.0,-0.3890699764496949,0.9077990834960162,0.47,0.23,0.018000000000000002,0.096,0.02,0.01,0.03,0.083,0.07,0.6085563991797275,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
510013,61.949997186660774,1396.4649675786495,26.54999929666519,37672.59496731684,421.85000562667847,24650.270041599862,0.0,324.25840943913585,4570.139945983887,102327.04439544678,819.5100202560426,11445.155146062376,12913007.953125,387157999.953125,15.302613957722981,0.0,126.25578797658285,215216.79921875,15.053420823458008,0.0,540.1552472843592,215087.77775173608,2327.2923021842153,42455.24448548778,30616.95885387293,606.6902536512582,178849.4834981259,32564.996385551265,43961.027887469245,15.117272313435093,0.0,0.0,1220836.3897148129,419.819941442508,630460400.53125,216802.06345641328,15.747974395751953,0.0,882.6388549804688,1.0499999523162842,7.1500000953674325,77.45999908447266,15.118635177612305,0.0,128.81944274902344,224536.5625,5004.21875,-0.2097797393798828,0.0,0.0,34.375,2908.0,12299.28780487805,277890.925,875918.0,0.16260975609756126,4454.0,9.0,2190.0,5.0,3170.0,2.0,990.0,1.0,2320.0,7.0,19130,13,38,976,16,2,2907,0,1,1,4014.0,11,2907.0,167.0,764.0,232.0,1179.0,-0.3667589213867848,-0.05186758791176384,0.49,0.3,0.014,0.092,0.03,0.01,0.03,0.113,0.11,0.6798092777961924,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
510014,29.890000581741337,905.2500108182428,3034.1401023864746,84690.51205921173,1129.1100139617922,34323.62026977538,8.540000036358832,315.6400007084012,1898.9299488067627,57777.00893592834,0.0,0.0,13745904.78125,389596116.46875,15.726062222321827,0.0,131.49305877685546,229098.41302083328,15.189319934676387,0.0,513.1997495269775,216442.28692708333,2363.4988282381196,90226.30640269168,41302.313019238485,454.15826120316666,177269.39706860413,32594.283300048926,52968.24072093727,15.229511420626011,0.0,0.0,1255323.2221818848,360.93249631451545,759812499.625,218462.4783280621,15.697338104248047,0.0,866.6666259765625,0.4900000095367432,18.51000022888184,31.1299991607666,15.335647583007812,0.0,130.20834350585938,226282.359375,3817.203125,0.397857666015625,0.0,0.0,32.924166795319195,3478.0,12238.738916256158,277277.75677339896,885652.0,-0.4568780788177342,4410.0,9.33,160.0,1.0,2940.0,1.0,1010.0,1.0,1950.0,8.0,21160,15,38,977,17,2,3477,0,1,1,2811.0,13,3477.0,196.0,760.0,207.0,1167.0,-0.25520364607223434,0.1880490799401812,0.71,0.26,0.013,0.107,0.02,0.01,0.04,0.08900000000000001,0.097,0.6976224974503087,0,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,0
510015,28.91000056266785,870.7300169467927,2934.660099029541,88387.98298263551,1092.0900135040283,32892.27040672303,8.26000003516674,248.78000105917454,1836.6699504852293,55318.00850868224,0.0,0.0,13122280.734375,393160579.90625,15.236746247609455,0.0,104.92187519073488,218704.67890625,15.313840123314812,0.0,339.5627899784512,218422.5443923611,1653.2600321769714,167822.76566314694,62452.74077224732,472.3600020110607,105032.61716842653,0.0,52218.18498076843,15.026815821803869,0.0,0.0,1341715.0711782977,386.1050564541864,742824188.21875,213762.35632194247,15.762442588806152,0.0,858.3333740234375,0.4900000095367432,18.51000022888184,31.1299991607666,15.458622932434082,0.0,108.33332824707031,221212.984375,-2083.03125,-0.17361164093017578,0.0,0.0,-82.29167175292969,3475.0,12270.727559055118,254492.7708661417,805229.5,0.37117322834645705,3750.0,6.12,1620.0,2.0,2840.0,1.0,1000.0,1.0,1010.0,3.0,18990,14,38,978,18,2,3476,0,1,1,3386.0,11,3476.0,173.0,734.0,222.0,1215.0,-0.3556033938553298,0.5879101930267562,0.64,0.29,0.012,0.101,0.03,0.01,0.04,0.099,0.11,1.1251397691490983,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0
510016,47.40000128746033,1227.0880878945834,801.0000228881836,45443.59812907551,1393.1999588012693,37064.972584993935,1.7999999597668646,165.11097798435748,3756.6000366210938,92795.24327499972,0.0,1056.0631236742836,13482365.046875,388092745.25,15.626808309555054,0.0,122.78356552124023,224706.08411458333,15.319993662561819,0.0,507.63551293267136,215607.08069444445,1736.1980978032595,97123.4598730025,56296.86282280218,310.57097860364973,125139.3124030362,1056.0631236742836,43586.736925766265,15.27215729704494,0.0,0.0,1290546.7442092896,452.1887681181813,618164188.765625,216595.7213614664,15.776909828186035,0.0,915.625,0.7900000214576721,23.21999931335449,62.61000061035156,15.60329818725586,0.0,125.0,222152.75,3889.40625,0.13025514000013594,0.0,0.0,-171.875,2854.0,12339.867469879518,262144.1859939759,821820.0,-0.2874021084337341,3840.0,7.79,2130.0,4.0,2910.0,1.0,1000.0,1.0,2010.0,6.0,19260,13,38,979,19,2,2854,0,1,1,1990.0,9,2854.0,170.0,746.0,203.0,1190.0,-0.21058153594641413,0.9477851948046736,0.64,0.22,0.013,0.086,0.02,0.01,0.03,0.07,0.086,0.1275994685185888,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0
510017,46.96999883651733,1383.0902816638645,847.2900209426881,20978.396346465965,1167.539962768555,34970.345993642666,3.0500000454485416,71.80013762976867,3913.760223388672,116294.40803674355,120.17000174522398,4496.653293920498,13736100.234375,401822850.71875,15.72970937093099,0.0,107.74016316731769,228935.00390625,15.401784518519404,0.0,201.58545588175457,223234.91706597226,3161.8875440019383,68236.92897593902,72492.46383118321,996.1069552776004,260940.99660811856,21636.13977652968,66113.57020350159,15.282841008668886,0.0,0.0,1509739.3253593445,348.99198459531766,947589602.265625,219045.2155029184,15.8203125,0.0,908.6805419921876,0.7699999809265137,19.13999938964844,64.16000366210939,15.458622932434082,0.0,109.02777862548828,224227.078125,2074.328125,-0.08680438995361328,0.0,0.0,10.069450378417967,4326.0,12191.374407582936,287465.9715639811,874521.0,0.16202211690363374,4824.0,8.34,1350.0,3.0,3060.0,2.0,1160.0,2.0,1100.0,7.0,21320,13,64,980,20,2,4325,1,0,1,3345.0,13,4325.0,158.0,736.0,221.0,1031.0,1.384658901051658,0.10807685732286616,0.65,0.26,0.015,0.094,0.03,0.01,0.03,0.087,0.1,-3.3370717542070207,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
